user_id;age;gender;occupation;zip_code;test_score
1;24;M;technician;85711;1649
2;53;F;other;94043;1807
3;23;M;writer;32067;619
4;24;M;technician;43537;837
5;33;F;other;15213;295
6;42;M;executive;98101;2169
7;57;M;administrator;91344;1757
8;36;M;administrator;5201;103
9;29;M;student;1002;21
10;53;M;lawyer;90703;1745
11;39;F;other;30329;585
12;28;F;other;6405;125
13;47;M;educator;29206;563
14;45;M;scientist;55106;2073
15;49;F;educator;97301;1869
16;21;M;entertainment;10309;199
17;30;M;programmer;6355;125
18;35;F;other;37212;717
19;40;M;librarian;2138;43
20;42;F;homemaker;95660;1839
21;26;M;writer;30068;581
22;25;;writer;40206;775
23;30;F;artist;48197;929
24;21;F;artist;94533;1817
25;39;M;engineer;55107;1061
26;49;M;engineer;21044;405
27;40;F;librarian;30030;579
28;32;M;writer;55369;1065
29;41;M;programmer;94043;1987
30;7;M;student;55436;189
31;24;M;artist;10003;195
32;28;F;student;78741;1515
33;23;M;student;27510;531
34;38;F;administrator;42141;811
35;20;F;homemaker;42459;819
36;19;F;student;93117;3353
37;23;M;student;55105;1589
38;28;F;other;54467;1571
39;41;M;entertainment;1040;31
40;38;M;scientist;27514;795
41;33;M;engineer;80525;2199
42;30;M;administrator;17870;515
43;29;F;librarian;20854;603
44;26;M;technician;46260;1335
45;29;M;programmer;50233;1449
46;27;F;marketing;46538;1341
47;53;M;marketing;7102;207
48;45;M;administrator;12550;365
49;23;F;student;76111;2741
50;21;M;writer;52245;1507
51;28;M;educator;16509;477
52;18;F;student;55105;1589
53;26;M;programmer;55414;1599
54;22;M;executive;66315;1913
55;37;M;programmer;1331;41
56;25;M;librarian;46260;1335
57;16;M;none;84010;3025
58;27;M;programmer;52246;1507
59;49;M;educator;8403;245
60;50;M;healthcare;6472;189
61;36;M;engineer;30040;867
62;27;F;administrator;97214;3501
63;31;M;marketing;75240;2609
64;32;M;educator;43202;1245
65;51;F;educator;48118;1387
66;23;M;student;80521;2899
67;17;M;student;60402;1743
68;19;M;student;22904;663
69;24;M;engineer;55337;1595
70;27;M;engineer;60067;1733
71;39;M;scientist;98034;3531
72;48;F;administrator;73034;2631
73;24;M;student;41850;1207
74;39;M;scientist;8815;257
75;24;M;entertainment;8816;257
76;20;M;student;2215;67
77;30;M;technician;29379;849
78;26;M;administrator;61801;1783
79;39;F;administrator;3755;111
80;34;F;administrator;52241;1507
81;21;M;student;21218;615
82;50;M;programmer;22902;663
83;40;M;programmer;44133;1275
84;32;M;executive;55369;1595
85;51;M;educator;20003;579
86;26;M;administrator;46005;1327
87;47;M;administrator;89503;3223
88;49;F;librarian;11701;339
89;43;F;administrator;68106;2453
90;60;M;educator;78155;2815
91;55;M;marketing;1913;57
92;32;M;entertainment;80525;2899
93;48;M;executive;23112;667
94;26;M;student;71457;2573
95;31;M;administrator;10707;309
96;25;F;artist;75206;2709
97;43;M;artist;98006;3529
98;49;F;executive;90291;3251
99;20;M;student;63129;1821
100;36;M;executive;90254;3251
101;15;M;student;5146;151
102;38;M;programmer;30220;873
103;26;M;student;55108;1589
104;27;M;student;55108;1589
105;24;M;engineer;94043;3387
106;61;M;retired;55125;1589
107;39;M;scientist;60466;1745
108;44;M;educator;63130;2109
109;29;M;other;55423;1599
110;19;M;student;77840;2803
111;57;M;engineer;90630;3263
112;30;M;salesman;60613;1747
113;47;M;executive;95032;3423
114;27;M;programmer;75013;2701
115;31;M;engineeeer;17110;495
116;40;M;healthcare;97232;3501
117;20;M;student;16125;465
118;21;M;administrator;90210;3249
119;32;M;programmer;67401;2427
120;47;F;other;6260;183
121;54;M;librarian;99603;3587
122;32;F;writer;22206;641
123;48;F;artist;20008;579
124;34;M;student;60615;1747
125;30;M;lawyer;22202;641
126;28;F;lawyer;20015;579
127;33;M;none;73439;2645
128;24;F;marketing;20009;579
129;36;F;marketing;7039;203
130;20;M;none;60115;1733
131;59;F;administrator;15237;441
132;24;M;other;94612;3407
133;53;M;engineer;78602;2831
134;31;M;programmer;80236;2889
135;23;M;student;38401;1109
136;51;M;other;97365;3507
137;50;M;educator;84408;3039
138;46;M;doctor;53211;1535
139;20;M;student;8904;259
140;30;F;student;32250;931
141;49;M;programmer;36117;1041
142;13;M;other;48118;1387
143;42;M;technician;8832;257
144;53;M;programmer;20910;605
145;31;M;entertainment;876;29
146;45;M;artist;83814;3019
147;40;F;librarian;2143;65
148;33;M;engineer;97006;3493
149;35;F;marketing;17325;501
150;20;F;artist;2139;65
151;38;F;administrator;48103;1387
152;33;F;educator;68767;2077
153;25;M;student;60641;1749
154;25;M;student;53703;1547
155;32;F;other;11217;327
156;25;M;educator;8360;243
157;57;M;engineer;70808;2551
158;50;M;educator;27606;797
159;23;F;student;55346;1595
160;27;M;programmer;66215;1911
161;50;M;lawyer;55104;1589
162;25;M;artist;15610;451
163;49;M;administrator;97212;3501
164;47;M;healthcare;80123;2885
165;20;F;other;53715;1551
166;47;M;educator;55113;1589
167;37;M;other;5445;159
168;48;M;other;80127;2885
169;52;F;other;53705;1547
170;53;F;healthcare;30067;869
171;48;F;educator;78750;2835
172;55;M;marketing;22207;641
173;56;M;other;22306;645
174;30;F;administrator;52302;2043
175;26;F;scientist;21911;633
176;28;M;scientist;7030;203
177;20;M;programmer;19104;551
178;26;M;other;49512;1427
179;15;M;entertainment;20755;599
180;22;F;administrator;60202;1735
181;26;M;executive;21218;615
182;36;M;programmer;33884;979
183;33;M;scientist;27708;799
184;37;M;librarian;76013;2737
185;53;F;librarian;97403;3507
186;39;F;executive;0;3
187;26;M;educator;16801;487
188;42;M;student;29440;849
189;32;M;artist;95014;3421
190;30;M;administrator;95938;3455
191;33;M;administrator;95161;3427
192;42;M;educator;90840;3271
193;29;M;student;49931;1439
194;38;M;administrator;2154;65
195;42;M;scientist;93555;3369
196;49;M;writer;55105;1589
197;55;M;technician;75094;2705
198;21;F;student;55414;1599
199;30;M;writer;17604;509
200;40;M;programmer;93402;2363
201;27;M;writer;3455;101
202;41;F;educator;60201;1735
203;25;F;student;32301;933
204;52;F;librarian;10960;319
205;47;M;lawyer;6371;185
206;14;F;student;53115;1531
207;39;M;marketing;92037;3315
208;43;M;engineer;1720;53
209;33;F;educator;85710;3087
210;39;M;engineer;3060;91
211;66;M;salesman;32605;941
212;49;F;educator;61401;1771
213;33;M;executive;55345;1595
214;26;F;librarian;11231;327
215;35;M;programmer;63033;1817
216;22;M;engineer;2215;67
217;22;M;other;11727;341
218;37;M;administrator;6513;189
219;32;M;programmer;43212;1247
220;30;M;librarian;78205;2817
221;19;M;student;20685;597
222;29;M;programmer;27502;795
223;19;F;student;47906;1383
224;31;F;educator;43512;1255
225;51;F;administrator;58202;1677
226;28;M;student;92103;3317
227;46;M;executive;60659;2057
228;21;F;student;22003;635
229;29;F;librarian;22903;663
230;28;F;student;14476;419
231;48;M;librarian;1080;33
232;45;M;scientist;99709;3591
233;38;M;engineer;98682;3553
234;60;M;retired;94702;3411
235;37;M;educator;22973;665
236;44;F;writer;53214;2067
237;49;M;administrator;63146;1821
238;42;F;administrator;44124;1271
239;39;M;artist;95628;3443
240;23;F;educator;20784;599
241;26;F;student;20001;579
242;33;M;educator;31404;907
243;33;M;educator;60201;1735
244;28;M;technician;80525;2899
245;22;M;student;55109;1589
246;19;M;student;28734;831
247;28;M;engineer;20770;599
248;25;M;student;37235;1075
249;25;M;student;84103;3029
250;29;M;executive;95110;3425
251;28;M;doctor;85032;3063
252;42;M;engineeeer;7733;225
253;26;F;librarian;22903;663
254;44;M;educator;42647;1231
255;23;M;entertainment;7029;203
256;35;F;none;39042;1127
257;17;M;student;77005;2773
258;19;F;student;77801;2801
259;21;M;student;48823;1409
260;40;F;artist;89801;3233
261;28;M;administrator;85202;3069
262;19;F;student;78264;2819
263;41;M;programmer;55346;107
264;36;F;writer;90064;175
265;26;M;executive;84601;165
266;62;F;administrator;78756;153
267;23;M;engineer;83716;163
268;24;M;engineer;19422;41
269;31;F;librarian;43201;87
270;18;F;student;63119;123
271;51;M;engineeeer;22932;45
272;33;M;scientist;53706;105
273;50;F;other;10016;21
274;20;F;student;55414;107
275;38;M;engineer;92064;179
